Conference,School,Color 1,Color 2,Mascot,Chant
SEC,University of Georgia,#BA0C2F,#000000,Bulldog,Go dawgs! Sic 'em
SEC,University of Alabama,#990000,#eeeeee,Crimson tide,Roll Tide
SEC,Auburn University,#dd550c,#03244d,Tiger,War Eagle
SEC,University of Mississippi,#c8102e,#00205b,Rebels,Go Rebs/ hotty toddy
SEC,University of Arkansas,#9D2235,#ffffff,Hog,Woo pig sooie
SEC,University of Florida ,#FA4616,#0021A5,Gator,Go gators
SEC,University of Kentucky,#0033A0,#ffffff,Wildcat,Go big blue
SEC,Louisiana State University,#461D7C,#FDD023,Tiger,Geaux Tigers
SEC,Mississippi State University,#660000,#CCCCCC,Bulldog,Hail state
SEC,University of Missouri,#F1b82d,#000000,Tiger,
SEC,University of South Carolina ,#73000A,#000000,Gamecock,Go cocks
SEC,University of Tennessee,#FF8200,#ffffff,Volunteer,Go Vols
SEC,Texas A&M University,#500000,#ffffff,Aggies,Gig 'em
SEC, Vanderbilt University,#997F3D,#000000,Commodore,Anchor down
ACC,Clemson University,#F66733,#522D80,Tiger,Go tigers
ACC,Boston College,#862633,#8b6f4e,Eagle,Go eagles
ACC,Duke University,#001A57,#ffffff,Blue Devil,Go Duke
ACC,Florida State University,#782F40,#CEB888,Seminole,Go 'noles
ACC,Georgia Tech,#CS9353,#00254C,Yellow jacket,Wreck 'em
ACC,North Carolina State,#CC0000,#000000,Wolfpack,Go pack
ACC,University of Miami ,#005030,#f47321,Hurricane,Go canes
ACC,University of North Carolina,#7BAFD4,#ffffff,Tarheel,Go heels
ACC,University of Virginia,#002F6C,#E57200,Cavalier,Go hoos
ACC,Virginia Tech,#660000,#FF6600,Hokie,Go hokies
ACC,Wake Forest ,#9E7E38,#000000,Demon Deacon,Go Deacs
ACC,Syracuse University,#D44500,#0D1D37,Orange,Go orange
Other,Louisville,#AD0000,#000000,Cardinal,Go cards
Other,Pittsburgh,#1c2957 ,#cdb87d ,Panthers,Go panthers 
Big 10,Michigan State,#18453B,#ffffff,Spartans,Go spartans
Big 10,Ohio State University,#bb0000,#666666,Buckeye,O-H..I-O
Big 10,University of Michigan,#ffcb05,#00274c,Wolverines,Go blue
Big 10,Pennsylvania State University,#041e42,#ffffff,Nittany Lion,We are
Big 10,Indiana University,#990000,#EEEDEB,Hoosiers,
Big 10,University of Maryland ,#c8102e,#ffcd00,Terrapin,Go terps
Big 10,Northwestern University,#4E2A84,#ffffff,Wildcat,
Big 10,University of Wisconsin ,#ba0c2f,#ffffff,Badger,On Wisconsin
Big 10,University of Nebraska ,#d00000,#f5f1e7,Cornhuskers,Go huskers
Big 10,University of Illinois,#131F33,#FA6300,Fighting Illini,Let's go Illini
Big 10,Purdue University,#000000,#B1810B,Boilermakers,Boiler up
Big 10,University of Minnesota ,#ffcc33,#7a0019,Golden Gopher,Go gophers
Other,Notre Dame,#c99700,#0C2340,Leprechaun/fighting Irish,Go Irish
